Indicadores Demográficos Básicos
Resultados por comunidades autónomas
Tasa Bruta de Natalidad por comunidad autónoma
Unidades:   Nacidos por mil habitantes

;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;
10 Comunitat Valenciana;7,07;7,47;7,68;8,18;8,52;8,81;8,96;8,9;9,52;9,89;10,36;10,51;11,51;11,19;11,14;10,95;10,89;10,8;10,39;10,19;9,9;9,49;9,09;9,13;9,13;9,23;9,38;9,86;10,2;10,27;10,47;10,49;10,82;10,95;11,35;11,77;12,41;12,85;14,02;14,94;16,1;17,34;18,43;19,2;19,79;19,55;
11 Extremadura;6,94;7,2;7,33;7,92;8,12;8,18;8,38;8,09;8,55;9,01;9,2;9,4;9,84;9,19;9,39;9,32;9,28;9,38;9,24;9,36;9,57;9,5;9,48;9,72;9,92;10,18;10,6;11,07;11,61;11,78;11,86;12,36;12,89;13,16;13,27;13,25;13,71;14,29;14,85;14,55;15,04;14,59;14,6;14,27;14,7;14,47;
12 Galicia;5,64;5,82;6,14;6,82;7,03;7,13;7,17;7,17;7,63;7,79;7,95;8,14;8,4;7,92;7,83;7,74;7,6;7,54;7,16;7,18;7,19;6,95;6,84;6,88;6,84;6,9;7,21;7,8;7,92;8,03;8,2;8,56;8,86;9,28;9,38;10,15;10,88;11,41;12,16;12,91;13,97;14,71;15,75;15,85;16,32;16,04;
13 Madrid, Comunidad de;7,68;8,34;8,74;9,31;9,79;10,14;10,27;10,22;10,8;11,24;11,57;11,95;12,54;12,16;11,98;11,73;11,88;11,75;11,36;11,05;10,58;9,8;9,28;9,33;9,17;9,17;9,36;9,82;10,14;9,96;10,13;10,36;10,51;10,92;11,23;11,75;12,38;12,71;13,8;14,64;15,7;17,42;18,91;20,2;21,73;21,67;
14 Murcia, Región de;9,06;9,54;9,92;10,24;10,57;10,91;11,15;11,02;11,42;11,91;12,38;12,82;13,54;13,24;13,23;12,98;12,91;13,04;12,65;12,58;12,07;11,27;11,14;11,44;11,28;11,35;11,42;12,36;12,93;13,13;13,32;13,54;13,62;13,75;13,83;14,54;14,99;15,64;17,07;17,47;19,19;20;20,45;20,91;21,8;20,78;
15 Navarra, Comunidad Foral de;7,67;8,23;8,35;8,96;9,24;9,44;9,72;9,54;10,53;10,57;10,67;10,86;11,3;10,82;10,98;10,46;10,85;10,8;10,31;10,3;9,57;9,37;9,12;9,2;9;8,68;8,77;8,9;8,69;9,2;9,27;9,36;9,51;9,26;9,98;10,28;11;11,41;12,17;13,09;13,84;14,66;15,72;16,83;17,61;17,83;
16 País Vasco;6,74;7,08;7,41;7,88;8,43;8,71;8,95;8,81;9,42;9,69;9,71;9,6;9,83;9,57;9,38;9,29;9,29;9,19;8,69;8,47;8,31;8,05;7,72;7,81;7,64;7,32;7,27;7,56;7,77;7,74;7,79;8,07;8,53;8,76;9,46;9,77;10,43;11,13;11,95;12,71;13,52;15,07;17,06;18,81;20,21;19,78;
17 Rioja, La;7,33;7,66;7,45;8,21;8,51;8,73;9,02;9,16;9,96;9,88;10,55;10,41;11,05;10,47;10,07;10,11;9,99;9,98;9,16;8,73;8,55;8,33;8,1;8,03;7,79;7,67;8,12;8,06;8,17;8,43;8,81;9,09;9,41;9,38;9,38;10,48;10,75;11,35;12,25;12,5;13,84;14,63;15,42;15,37;17,42;15,95;
18 Ceuta;9,97;9,96;11,44;12,29;12,51;12,97;14,2;12,85;13,4;14,06;14,79;14,81;15,37;15,24;14,2;14,75;14,82;14,26;14,44;13,75;14,03;14,43;13,93;14,67;13,78;15,18;14,58;16,43;15,89;15,55;14,72;15,74;16,92;15,97;15,5;16,68;15,5;16,33;16,55;17,65;17,84;18,44;19,48;19,13;20,14;20,69;
19 Melilla;11,14;14,64;15,83;15,82;17,19;17,83;19,33;18,04;18,34;18,15;17,55;17,09;17,34;15,87;16,52;15,25;15,39;17,04;16,02;17,13;16,91;16,09;16,5;16,5;16,46;17,52;17,53;19,05;19,85;17,75;17,98;17,73;18,67;17,14;17,72;17,79;16,98;17,44;16,92;15,4;16,21;14,79;14,86;15,04;14,69;12,63;
Notas:
Fuente: 
